exercice,niveau,groupe_musculaire,materiel,zone_du_corps
Stability Ball Dead Bug,débutant,abdominaux,Stability Ball,sangle abdominale
Bodyweight Glute Bridge,débutant,fessiers,Bodyweight,bas du corps
Bodyweight Bird Dog,débutant,abdominaux,Bodyweight,sangle abdominale
Stability Ball Seated Russian Twist ,débutant,abdominaux,Stability Ball,sangle abdominale
Stability Ball Feet Elevated Crunch ,débutant,abdominaux,Stability Ball,sangle abdominale
Ring Hanging Knee Raise ,intermédiaire,abdominaux,anneaux de gymnastique,sangle abdominale
Parallette Mountain Climber,débutant,abdominaux,barres parallèles,sangle abdominale
Parallette Push Up,débutant,pectoraux,barres parallèles,haut du corps
Bodyweight Knee Hover Bird Dog,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Stability Ball Pass,débutant,abdominaux,Stability Ball,sangle abdominale
Bodyweight Dead Bug,débutant,abdominaux,Bodyweight,sangle abdominale
Bodyweight Alternating Heel Taps,débutant,abdominaux,Bodyweight,sangle abdominale
Bodyweight Flutter Kicks,débutant,abdominaux,Bodyweight,sangle abdominale
Bodyweight Kneeling Plank,débutant,abdominaux,Bodyweight,sangle abdominale
Bodyweight Seated Ab Circles,débutant,abdominaux,Bodyweight,sangle abdominale
Stability Ball Stir The Pot,débutant,abdominaux,Stability Ball,sangle abdominale
Bodyweight Alternating Side Kick Through,intermédiaire,abdominaux,Bodyweight,sangle abdominale
Ring L Sit Hang Flutter Kicks ,intermédiaire,abdominaux,anneaux de gymnastique,sangle abdominale
Slam Ball Russian Twist,intermédiaire,abdominaux,slam ball,sangle abdominale
Dumbbell Otis Up,débutant,abdominaux,Dumbbell,sangle abdominale
Single Arm Dumbbell Side Plank Reach Through ,avancé,abdominaux,Dumbbell,sangle abdominale
Ab Wheel Kneeling Rollout,débutant,abdominaux,roue abdominale,sangle abdominale
Cable Seated Crunch,débutant,abdominaux,Cable,sangle abdominale
Cable Kneeling Crunch,débutant,abdominaux,Cable,sangle abdominale
Medicine Ball V-Up,débutant,abdominaux,medecine ball,sangle abdominale
Suspension Knee Tuck,débutant,abdominaux,sangles de suspension,sangle abdominale
Suspension Lateral Knee Tuck,intermédiaire,abdominaux,sangles de suspension,sangle abdominale
